ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre,Price,Items in Stock
1,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,Self-help,17,4
2,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,Mystery,56,3
3,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,Young Adult,18,1
4,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,Romance,51,10
5,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,Biography,42,10
6,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,Young Adult,42,1
7,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,Mystery,29,3
8,PLEADING GUILTY,Scott Turow,1993,Audioworks,Romance,22,8
9,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,Science Fiction,32,4
10,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,Biography,15,6
11,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,Thriller,50,4
12,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,Mystery,46,2
13,The Middle Stories,Sheila Heti,2004,House of Anansi Press,Horror,40,8
14,Jane Doe,R. J. Kaiser,1999,Mira Books,Self-help,12,6
15,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,Science Fiction,47,2
16,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,Fantasy,10,10
17,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,Historical Fiction,60,6
18,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,Self-help,60,7
19,The Testament,John Grisham,1999,Dell,Young Adult,10,1
20,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Horror,58,4
21,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,Horror,51,1
22,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,Fantasy,36,6
23,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,Fantasy,39,8
24,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,Self-help,36,6
25,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,Biography,46,9
26,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,Biography,34,5
27,Wild Animus,Rich Shapero,2004,Too Far,Mystery,60,1
28,Airframe,Michael Crichton,1997,Ballantine Books,Science Fiction,33,9
29,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Fantasy,44,2
30,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,Science Fiction,30,7
31,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Science Fiction,53,1
32,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,Young Adult,13,5
33,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,Self-help,32,2
34,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,Self-help,31,2
35,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,Biography,59,1
36,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,Thriller,45,5
37,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,Biography,51,2
38,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,Science Fiction,19,10
39,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,Thriller,43,9
40,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,Mystery,45,7
41,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,Mystery,37,5
42,Pride and Prejudice,Jane Austen,1983,Bantam,Self-help,29,6
43,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,Romance,28,6
44,Downtown,Anne Rivers Siddons,1995,HarperTorch,Young Adult,58,4
45,Icebound,Dean R. Koontz,2000,Bantam Books,Mystery,48,4
46,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,Romance,24,7
47,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,Thriller,16,5
48,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,Science Fiction,24,1
49,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,Historical Fiction,40,10
50,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,Romance,39,10
51,Proxies,Laura J. Mixon,1999,Tor Books,Self-help,49,10
52,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,Fantasy,58,5
53,The Street Lawyer,JOHN GRISHAM,1999,Dell,Self-help,20,9
54,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,Fantasy,40,6
55,All the King's Men,Robert Penn Warren,1982,Harvest Books,Young Adult,20,3
56,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,Horror,14,4
57,A Soldier of the Great War,Mark Helprin,1992,Avon Books,Horror,12,4
58,Getting Well Again,O. Carol Simonton Md,1992,Bantam,Mystery,10,8
59,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,Biography,41,5
60,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,Self-help,35,3
61,LONESOME DOVE,Larry McMurtry,1986,Pocket,Historical Fiction,11,1
62,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,Self-help,25,7
63,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,Romance,50,3
64,Lieux dits,Michel Tournier,2002,Gallimard,Self-help,59,4
65,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,Young Adult,12,3
66,The yawning heights,Aleksandr Zinoviev,1980,Random House,Horror,28,3
67,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,Historical Fiction,59,5
68,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),Horror,38,8
69,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,Science Fiction,43,7
70,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press,Historical Fiction,39,2
71,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,Thriller,37,4
72,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,Science Fiction,57,9
73,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,Horror,12,7
74,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,Mystery,42,3
75,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,Fantasy,12,2
76,The Prince,Niccolo Machiavelli,1952,Signet Book,Young Adult,14,8
77,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,Thriller,51,3
78,Starship Troopers,Robert A. Heinlein,1987,Ace Books,Romance,45,8
79,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,Fantasy,36,3
80,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,Science Fiction,27,6
81,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,Fantasy,50,9
82,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,Young Adult,48,1
83,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press,Thriller,44,10
84,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division,Science Fiction,22,4
85,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division),Science Fiction,13,3
86,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,Biography,16,7
87,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins,Horror,24,10
88,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,Romance,48,6
89,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,Horror,10,9
90,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,Biography,21,5
91,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",Self-help,34,1
92,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,Mystery,55,5
93,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,Thriller,14,2
94,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,Horror,34,6
95,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,Science Fiction,53,6
96,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,Mystery,16,8
97,Fast Women,Jennifer Crusie,2001,St. Martin's Press,Historical Fiction,53,9
98,Female Intelligence,Jane Heller,2001,St. Martin's Press,Biography,10,6
99,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,Young Adult,49,2
100,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,Romance,10,9
101,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,Doubleday Books,Young Adult,50,9
102,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,Historical Fiction,49,1
103,The Pillars of the Earth,Ken Follett,1996,Signet Book,Fantasy,36,9
104,McDonald's: Behind the Arches,John F. Love,1995,Bantam,Self-help,53,6
105,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,Young Adult,27,10
106,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,Science Fiction,55,3
107,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside,Fantasy,34,9
108,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,Horror,21,2
109,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets,Thriller,32,3
110,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,Horror,32,2
111,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,Young Adult,53,4
112,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell,Thriller,59,5
113,Blood Oath,David Morrell,1994,St. Martin's Press,Young Adult,56,7
114,The Alibi,Sandra Brown,2000,Warner Books,Mystery,22,2
115,The Beach House,James Patterson,2003,Warner Books,Science Fiction,36,3
116,A Kiss Remembered,Sandra Brown,2003,Warner Books,Biography,35,10
117,The Short Forever,Stuart Woods,2003,Signet Book,Romance,52,2
118,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,Fantasy,23,7
119,Angels &amp; Demons,Dan Brown,2001,Pocket Star,Science Fiction,58,10
120,The Deal,Joe Hutsko,2000,Tor Books (Mm),Thriller,14,2
121,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,Historical Fiction,25,7
122,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,Self-help,43,6
123,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,Fantasy,40,2
124,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),Science Fiction,47,9
125,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,Warner Books (Mm),Thriller,23,5
126,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books,Romance,39,8
127,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,Young Adult,10,10
128,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,Science Fiction,53,7
129,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc,Romance,24,4
130,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,Science Fiction,42,9
131,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,Young Adult,28,8
132,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,Self-help,14,3
133,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,Biography,42,10
134,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,Historical Fiction,33,2
135,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,Self-help,57,7
136,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,Science Fiction,54,6
137,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,Biography,35,2
138,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,Young Adult,48,6
139,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan,Romance,57,7
140,Atonement : A Novel,IAN MCEWAN,2003,Anchor,Horror,10,7
141,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company,Mystery,58,3
142,The Angelic Darkness,Richard Zimler,1999,Arcadia Books,Science Fiction,11,3
143,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd.",Young Adult,32,9
144,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,Biography,37,3
145,Hush,Anne Frasier,2002,Onyx Books,Biography,33,10
146,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,Young Adult,22,7
147,Temor y Temblor,Soren Kierkegaard,2001,Alianza,Biography,24,2
148,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,Mystery,33,5
149,Rebecca,Daphne Du Maurier,1994,Avon,Historical Fiction,58,2
150,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,Fantasy,52,8
151,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square,Science Fiction,47,5
152,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,Romance,50,10
153,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,Young Adult,23,3
154,Contact,Susan Grant,2002,Love Spell,Science Fiction,27,7
155,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,Horror,51,9
156,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc,Science Fiction,39,2
157,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,Science Fiction,14,2
158,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,Historical Fiction,54,9
159,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,Fantasy,60,1
160,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,Historical Fiction,11,1
161,Snow Angels,Stewart O'Nan,1995,Penguin Books,Fantasy,42,5
162,Wish You Well,David Baldacci,2000,Warner Books,Fantasy,51,5
163,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,Horror,59,4
164,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,Self-help,24,10
165,My Antonia,Willa Cather,1995,Mariner Books,Horror,31,2
166,Pen Pals,Olivia Goldsmith,2002,Signet Book,Mystery,55,7
167,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),Fantasy,50,5
